Date,Open ,Close ,High,Low,Volume,ADS_Index,Mkt-RF,SMB,HML,RF,Returns,SP500,Open_Close,High_Low,HLOC,EWM_OpenClose
2016-04-06,588.08,602.15,602.4,587.5,22432,-0.532076147286046,1.14,0.17,-0.82,0.0,-0.01195606128838754,2066.66,595.115,594.95,595.0325,592.4094788098507
2016-04-07,601.0,591.26,601.0,589.08,23787,-0.525349860702292,-1.23,-0.05,-0.35,0.0,0.026831660596515615,2041.91,596.13,595.04,595.585,593.6496525399004
2016-04-08,594.31,594.0,597.86,589.0,20214,-0.519518828484365,0.29,0.02,0.68,0.0,-0.017847033696230766,2047.6,594.155,593.4300000000001,593.7925,593.818101693267
2016-04-11,596.02,596.0,604.0,594.91,19910,-0.50687340689431,-0.28,-0.1,0.95,0.0,0.005345548816380569,2041.99,596.01,599.4549999999999,597.7325,594.548734462178
2016-04-12,597.0,603.45,604.06,592.31,19755,-0.503873114982076,0.99,-0.06,0.85,0.0,0.0022343285560951043,2061.72,600.225,598.185,599.2049999999999,596.4408229747853
2016-04-13,604.5,614.8,616.81,604.5,31916,-0.501538344603621,1.23,0.84,0.35,0.0,0.012075853767673941,2082.42,609.65,610.655,610.1524999999999,600.8438819831902
2016-04-14,614.44,621.05,624.38,614.44,23269,-0.499868792154744,0.03,-0.28,0.18,0.0,0.019130500900631543,2082.78,617.745,619.4100000000001,618.5775000000001,606.4775879887935
2016-04-15,620.0,626.39,626.77,618.11,22112,-0.498864240533524,-0.04,0.33,-0.32,0.0,0.009598870963148204,2080.73,623.1949999999999,622.44,622.8175,612.0500586591957
2016-04-18,625.0,633.5,637.64,624.2,33612,-0.499549806528352,0.65,0.09,-0.19,0.0,0.008246236387488566,2094.34,629.25,630.9200000000001,630.085,617.7833724394638
2016-04-19,636.5,627.8,639.46,620.8,31575,-0.500580828728267,0.29,-0.36,1.48,0.0,0.015001329600323063,2100.8,632.15,630.13,631.14,622.5722482929759
2016-04-20,627.9,632.48,636.55,623.0,19746,-0.501942904389366,0.15,-0.1,0.54,0.0,-0.011795034033377597,2102.4,630.19,629.775,629.9825,625.111498861984
2016-04-21,633.9,623.5,637.82,619.0,19127,-0.503636210630521,-0.47,0.11,-0.59,0.0,0.008073652090332298,2091.48,628.7,628.4100000000001,628.5550000000001,626.3076659079894
2016-04-22,623.97,619.5,628.25,611.56,39334,-0.505660967642501,0.12,0.82,0.49,0.0,-0.0031487458918290894,2091.58,621.735,619.905,620.8199999999999,624.7834439386597
2016-04-25,620.46,626.45,626.98,616.25,20350,-0.513770921778694,-0.24,-0.58,-0.17,0.0,-0.01678025789655123,2087.79,623.455,621.615,622.5350000000001,624.3406292924399
2016-04-26,628.0,610.92,628.83,610.51,18847,-0.516722652386723,0.29,0.65,0.78,0.0,0.00914422341084989,2091.7,619.46,619.6700000000001,619.565,622.7137528616266
2016-04-27,611.8,616.5,617.6,601.28,31241,-0.519561505934243,0.21,0.09,0.68,0.0,-0.014995304425502582,2095.15,614.15,609.44,611.7950000000001,619.8591685744177
2016-04-28,610.0,678.0,682.35,599.2,49825,-0.522287851574411,-0.96,-0.15,0.05,0.0,-0.016854374042389746,2075.81,644.0,640.7750000000001,642.3875,627.9061123829451
2016-04-29,674.0,660.35,677.1,654.0,78047,-0.52490204383031,-0.5,-0.14,0.38,0.0,-0.007562704278798512,2065.3,667.175,665.55,666.3625,640.9957415886302
2016-05-02,662.98,683.9,685.5,661.5,50188,-0.53226220411692,0.78,-0.01,-0.36,0.001,0.09136102549276066,2081.43,673.44,673.5,673.47,651.8104943924202
2016-05-03,680.0,672.94,680.4,670.2,37685,-0.533542336013317,-1.05,-0.66,-0.49,0.001,0.03612008943056215,2063.37,676.47,675.3,675.885,660.0303295949468
2016-05-04,667.84,671.94,674.0,662.14,35961,-0.53363587555836,-0.66,-0.15,0.06,0.001,-0.01849262636494732,2051.12,669.8900000000001,668.0699999999999,668.98,663.3168863966313
2016-05-05,673.0,657.37,676.49,656.0,37986,-0.532542834915555,-0.08,-0.5,0.09,0.001,-0.0006258035255122236,2050.63,665.185,666.245,665.715,663.9395909310875
2016-05-06,667.0,674.18,676.95,654.51,33728,-0.530263071950272,0.38,0.05,0.24,0.001,-0.017759993637057523,2057.14,670.5899999999999,665.73,668.16,666.1563939540583
2016-05-09,679.44,678.51,686.98,671.41,30810,-0.51647239446581,0.05,0.36,-1.48,0.001,0.02229580528512692,2058.69,678.975,679.1949999999999,679.085,670.4292626360389
2016-05-10,686.75,703.0,704.55,678.0,47240,-0.510244156939231,1.26,-0.4,0.47,0.001,0.008569141522826368,2084.39,694.875,691.275,693.075,678.5778417573592
2016-05-11,700.5,713.8,719.0,700.5,59194,-0.503456516417241,-0.89,-0.36,0.78,0.001,0.03373138655479936,2064.46,707.15,709.75,708.45,688.1018945049061
2016-05-12,714.0,717.2,722.45,711.51,38718,-0.496108590262219,-0.11,-0.6,0.15,0.001,0.014347450932682056,2064.11,715.6,716.98,716.29,697.2679296699374
2016-05-13,714.25,710.25,719.25,706.51,36120,-0.48819942297924,-0.82,0.38,-0.66,0.001,0.006568140508941634,2046.61,712.25,712.88,712.565,702.2619531132916
2016-05-16,710.0,711.0,715.5,700.28,43025,-0.460636286613494,0.99,0.28,-0.24,0.001,-0.011219797824764314,2066.66,710.5,707.89,709.1949999999999,705.0079687421944
2016-05-17,712.1,695.0,714.47,693.91,40339,-0.450086817678815,-0.95,-0.78,0.61,0.001,0.0010418140334942064,2047.21,703.55,704.19,703.87,704.5219791614629
2016-05-18,694.5,697.85,702.54,688.76,32180,-0.439043399393453,0.1,0.11,0.83,0.001,-0.021893789620899197,2047.63,696.175,695.65,695.9125,701.7396527743086
2016-05-19,694.13,699.0,699.4,689.56,23549,-0.427504595715472,-0.33,-0.32,-0.29,0.001,0.003130555646944612,2040.04,696.565,694.48,695.5225,700.0147685162058
2016-05-20,699.21,703.3,707.24,699.08,21747,-0.415468906185,0.75,0.9,-0.3,0.001,0.0015329959598303646,2052.32,701.255,703.1600000000001,702.2075,700.4281790108039
2016-05-23,702.8,696.4,707.0,696.0,20064,-0.37583373392556,-0.18,0.26,-0.32,0.001,0.0061084995347743054,2048.04,699.5999999999999,701.5,700.5500000000001,700.1521193405359
2016-05-24,699.0,704.98,707.5,698.0,22468,-0.360929344166603,1.43,0.68,-0.34,0.001,-0.008645672876325504,2076.06,701.99,702.75,702.37,700.764746227024
2016-05-25,707.8,708.0,710.86,702.8,23990,-0.345185437074247,0.72,-0.21,0.57,0.001,0.010635757399507806,2090.54,707.9,706.8299999999999,707.365,703.1431641513493
2016-05-26,708.98,715.26,715.26,707.29,18982,-0.328599965373794,-0.04,-0.09,-0.51,0.001,0.005875864182238165,2090.1,712.12,711.275,711.6975,706.1354427675662
2016-05-27,715.94,712.15,716.6,711.1,17537,-0.311170772356853,0.49,0.33,-0.22,0.001,0.009218334934524893,2099.06,714.0450000000001,713.85,713.9475000000001,708.7719618450442
2016-05-31,713.3,722.65,724.23,711.32,26894,-0.232463813148433,-0.01,0.5,-0.36,0.001,-0.0037417036531240283,2096.96,717.9749999999999,717.7750000000001,717.8750000000001,711.8396412300294
2016-06-01,718.5,719.4,726.43,716.56,24552,-0.210358302746684,0.2,0.65,-0.25,0.001,0.014703773873775342,2099.33,718.95,721.4949999999999,720.2225,714.2097608200197
2016-06-02,721.79,728.63,729.0,715.5,23302,-0.188371803735364,0.35,0.31,-0.59,0.001,-0.004645558712779899,2105.26,725.21,722.25,723.73,717.8765072133465
2016-06-03,730.84,725.5,730.97,718.43,24683,-0.167146770032298,-0.38,-0.14,-0.11,0.001,0.012157516079096443,2099.13,728.1700000000001,724.7,726.4350000000001,721.3076714755643
2016-06-06,728.5,725.8,731.5,724.42,20218,-0.107928803781451,0.6,0.68,0.32,0.001,-0.0037144755930659423,2109.41,727.15,727.96,727.5550000000001,723.255114317043
2016-06-07,730.43,724.1,730.99,720.55,19877,-0.0893869939198215,0.12,0.19,0.11,0.001,0.0016388168876993578,2112.13,727.265,725.77,726.5174999999999,724.5917428780286
2016-06-08,725.84,726.87,729.42,721.6,16296,-0.0713423164483609,0.37,0.45,-0.11,0.001,-0.004122793711030178,2119.12,726.355,725.51,725.9325,725.1794952520191
2016-06-09,724.02,727.82,728.91,722.3,15615,-0.0537924249093958,-0.27,-0.4,-0.22,0.001,0.003998991788017576,2115.48,725.9200000000001,725.605,725.7625,725.4263301680128
2016-06-10,724.1,717.99,724.98,714.21,25675,-0.0367350371852358,-1.05,-0.34,-0.18,0.001,0.0013890065053076613,2096.07,721.0450000000001,719.595,720.3199999999999,723.9658867786752
2016-06-13,710.46,714.98,721.99,709.14,25233,0.0113370537751859,-0.84,-0.36,0.1,0.001,-0.013476020949328246,2079.06,712.72,715.565,714.1425,720.2172578524502
