,Y,Y_RF,sig_1,pos_1,bal_1,sig_2,pos_2,bal_2,sig_3,pos_3,bal_3,Y_close,PL1,PL2,PL3
72,995.1,994.5796661565943,-1.0,-1.0,1017640.0,-1.0,-1.0,988948.0,-1.0,-1.0,1071910.0,972.37,13638.0,13638.0,-11478.0
73,975.0,978.9614940971021,1.0,1.0,1013740.0,1.0,1.0,985048.0,-1.0,-1.0,1069588.0,968.5,-3900.0,-3900.0,-2322.0
74,974.0,974.7540725949333,1.0,1.0,1002274.0,1.0,0.0,985048.0,-1.0,-1.0,1061422.0,954.89,-11466.0,0.0,-8166.0
75,952.48,961.8939591554297,1.0,1.0,1013626.0,1.0,0.0,985048.0,-1.0,-1.0,1071328.0,971.4,11352.0,0.0,9906.0
76,962.36,963.36042947431,1.0,1.0,1015720.0,1.0,0.0,985048.0,-1.0,-1.0,1067998.0,965.85,2094.0,0.0,-3330.0
77,966.01,968.229989556108,1.0,1.0,1023754.0,1.0,0.0,985048.0,-1.0,-1.0,1076128.0,979.4,8034.0,0.0,8130.0
78,984.23,975.1030058926821,-1.0,-1.0,1015498.0,-1.0,-1.0,976792.0,-1.0,-1.0,1087282.0,997.99,-8256.0,-8256.0,11154.0
79,999.44,995.2241730915559,-1.0,-1.0,1018462.0,-1.0,0.0,976792.0,-1.0,-1.0,1085188.0,994.5,2964.0,0.0,-2094.0
80,995.99,994.1678407757312,-1.0,-1.0,1011946.0,-1.0,0.0,976792.0,-1.0,-1.0,1092598.0,1006.85,-6516.0,0.0,7410.0
81,1008.2,1005.5660848898599,-1.0,-1.0,1017208.0,-1.0,0.0,976792.0,-1.0,-1.0,1088146.0,999.43,5262.0,0.0,-4452.0
82,1001.78,1003.4764457164418,1.0,1.0,1017406.0,1.0,1.0,976990.0,-1.0,-1.0,1089754.0,1002.11,198.0,198.0,1608.0
83,1003.0,1003.1244000077614,1.0,1.0,1022956.0,1.0,0.0,976990.0,-1.0,-1.0,1095838.0,1012.25,5550.0,0.0,6084.0
84,1010.65,1010.7643281094252,1.0,1.0,1031746.0,1.0,0.0,976990.0,-1.0,-1.0,1103668.0,1025.3,8790.0,0.0,7830.0
85,1025.26,1019.8580596998275,-1.0,-1.0,1030306.0,-1.0,-1.0,975550.0,-1.0,-1.0,1105084.0,1027.66,-1440.0,-1440.0,1416.0
86,1028.64,1028.7140485769646,1.0,1.0,1028121.9999999999,1.0,1.0,973365.9999999999,-1.0,-1.0,1103488.0,1025.0,-2184.0000000001164,-2184.0000000001164,-1596.0
87,1028.5,1026.5209163117097,-1.0,-1.0,1029622.0,-1.0,-1.0,974866.0,-1.0,-1.0,1104088.0,1026.0,1500.0000000001164,1500.0000000001164,600.0
88,1025.0,1024.8740514490923,-1.0,-1.0,1022572.0,-1.0,0.0,974866.0,-1.0,-1.0,1110538.0,1036.75,-7050.0,0.0,6450.0
89,1036.0,1036.1611426854188,1.0,1.0,1024768.0,1.0,1.0,977062.0,-1.0,-1.0,1112284.0,1039.66,2196.0,2196.0,1746.0
90,1041.88,1041.903629408968,1.0,1.0,1037289.9999999999,1.0,0.0,977062.0,-1.0,-1.0,1126138.0,1062.75,12521.999999999884,0.0,13854.0
91,1062.0,1057.1601051572306,-1.0,-1.0,1065844.0,-1.0,-1.0,1005616.0,-1.0,-1.0,1097134.0,1014.41,28554.000000000116,28554.0,-29004.0
92,1020.21,1033.8299990947467,1.0,1.0,1065238.0,1.0,1.0,1005010.0,-1.0,-1.0,1100008.0,1019.2,-606.0,-606.0,2874.0
93,1024.0,1025.361617646337,1.0,1.0,1042192.0,1.0,0.0,1005010.0,-1.0,-1.0,1079842.0,985.59,-23046.0,0.0,-20166.0
94,995.0,1002.1302882689963,1.0,1.0,1046254.0,1.0,0.0,1005010.0,-1.0,-1.0,1089550.0,1001.77,4062.0,0.0,9708.0
95,1003.0,1004.9772981207167,1.0,1.0,1041850.0,1.0,0.0,1005010.0,-1.0,-1.0,1085884.0,995.66,-4404.0,0.0,-3666.0
96,997.89,999.0110276478758,1.0,1.0,1035268.0,1.0,0.0,1005010.0,-1.0,-1.0,1080640.0,986.92,-6582.0,0.0,-5244.0
97,988.05,994.5168160946976,1.0,1.0,1034578.0,1.0,0.0,1005010.0,-1.0,-1.0,1080628.0,986.9,-690.0,0.0,-12.0
98,993.1,993.6468566564513,1.0,1.0,1033192.0,1.0,0.0,1005010.0,-1.0,-1.0,1082962.0,990.79,-1386.0,0.0,2334.0
99,993.13,990.4913210090848,-1.0,-1.0,1037800.0,-1.0,-1.0,1009618.0,-1.0,-1.0,1079758.0,985.45,4608.0,4608.0,-3204.0
100,983.5,994.5801055790924,1.0,1.0,1036564.0,1.0,1.0,1008382.0,-1.0,-1.0,1077352.0,981.44,-1236.0,-1236.0,-2406.0
101,977.0,985.8515989963347,1.0,1.0,1022764.0,1.0,0.0,1008382.0,-1.0,-1.0,1060888.0,954.0,-13800.0,0.0,-16464.0
102,952.1,971.6486037561232,1.0,1.0,1032484.0,1.0,0.0,1008382.0,-1.0,-1.0,1069468.0,968.3,9720.0,0.0,8580.0
103,979.69,977.1391434362308,-1.0,-1.0,1030048.0,-1.0,-1.0,1005946.0,-1.0,-1.0,1078738.0,983.75,-2436.0,-2436.0,9270.0
104,987.35,987.0387991314134,-1.0,-1.0,1034152.0,-1.0,0.0,1005946.0,-1.0,-1.0,1076794.0,980.51,4104.0,0.0,-1944.0
105,987.0,986.6824795380189,-1.0,-1.0,1040602.0,-1.0,0.0,1005946.0,-1.0,-1.0,1074238.0,976.25,6450.0,0.0,-2556.0
106,977.99,979.0789057491161,1.0,1.0,1028128.0,1.0,1.0,993472.0,-1.0,-1.0,1062808.0,957.2,-12474.0,-12474.0,-11430.0
107,961.0,970.7996640941956,1.0,1.0,1025428.0,1.0,0.0,993472.0,-1.0,-1.0,1062388.0,956.5,-2700.0,0.0,-420.0
108,957.84,962.7058766523073,1.0,1.0,1023034.0,1.0,0.0,993472.0,-1.0,-1.0,1060798.0,953.85,-2394.0,0.0,-1590.0
109,956.95,956.0448264264007,-1.0,-1.0,1017304.0,-1.0,-1.0,987742.0,-1.0,-1.0,1068388.0,966.5,-5730.0,-5730.0,7590.0
110,964.25,966.5877929742586,1.0,1.0,1010974.0,1.0,1.0,981412.0,-1.0,-1.0,1060708.0,953.7,-6330.0,-6330.0,-7680.0
111,959.0,964.5538379517693,1.0,1.0,1007974.0,1.0,0.0,981412.0,-1.0,-1.0,1060888.0,954.0,-3000.0,0.0,180.0
112,957.15,955.7232295124173,-1.0,-1.0,1015264.0,-1.0,-1.0,988702.0,-1.0,-1.0,1055488.0,945.0,7290.0,7290.0,-5400.0
113,945.7,956.3662650655133,1.0,1.0,1012144.0,1.0,1.0,985582.0,-1.0,-1.0,1052788.0,940.5,-3120.0,-3120.0,-2700.0
114,935.0,943.531814058123,1.0,1.0,1024294.0,1.0,0.0,985582.0,-1.0,-1.0,1061638.0,955.25,12150.0,0.0,8850.0
115,956.6,954.9391046524536,-1.0,-1.0,1017502.0,-1.0,-1.0,978790.0,-1.0,-1.0,1069240.0,967.92,-6792.0,-6792.0,7602.0
116,970.49,969.2808907894718,-1.0,-1.0,1011196.0,-1.0,0.0,978790.0,-1.0,-1.0,1077088.0,981.0,-6306.0,0.0,7848.0
117,982.63,981.1869561660291,-1.0,-1.0,1013080.0,-1.0,0.0,978790.0,-1.0,-1.0,1076182.0,979.49,1884.0,0.0,-906.0
118,977.89,982.1745241327327,1.0,1.0,1006174.0,1.0,1.0,971884.0,-1.0,-1.0,1068316.0,966.38,-6906.0,-6906.0,-7866.0
119,968.24,970.9946404567661,1.0,1.0,1005580.0,1.0,0.0,971884.0,-1.0,-1.0,1068838.0,967.25,-594.0,0.0,522.0
120,970.0,969.7247051394031,-1.0,-1.0,999442.0,-1.0,-1.0,965746.0,-1.0,-1.0,1076626.0,980.23,-6138.0,-6138.0,7788.0
121,976.67,979.767146164106,1.0,1.0,993052.0,1.0,1.0,959356.0,-1.0,-1.0,1068100.0,966.02,-6390.0,-6390.0,-8526.0
122,973.03,972.9071668611487,-1.0,-1.0,990058.0,-1.0,-1.0,956362.0,-1.0,-1.0,1075300.0,978.02,-2994.0,-2994.0,7200.0
