Y,Y_rf,Y_close
1187.5,1187.472898708601,1169.27
1167.8,1176.7447501010574,1186.0
1188.77,1185.8772972403467,1203.0
1208.0,1199.3693725789726,1210.26
1210.92,1211.0068933384414,1230.51
1233.39,1224.6302489288505,1247.16
1248.26,1243.0264573950617,1252.73
1250.0,1250.0483498719957,1256.01
1257.0,1248.4859586217492,1277.73
1282.0,1269.3640358723196,1307.0
1315.5,1293.1194701008037,1299.0
1310.0,1306.9832714427685,1298.79
1296.08,1295.966785838143,1293.98
1297.7,1295.3876618022439,1294.35
1296.0,1300.3897829050077,1334.75
1339.0,1320.2123449177598,1361.17
1365.0,1348.6078667576323,1359.5
1366.69,1365.8795551712446,1378.0
1382.0,1366.44881702411,1406.3
1408.0,1392.562968559133,1419.01
1411.5,1411.7238567689496,1438.0
1448.0,1416.11449611384,1463.0
1468.45,1456.3434381365698,1477.1
1471.73,1454.9048958568667,1427.0
1421.0,1439.621960496198,1375.0
1374.0,1381.0300233234166,1443.0
1435.38,1440.217117915356,1413.0
1423.1,1422.790798514316,1352.0
1355.01,1373.230880378373,1342.24
1351.0,1330.2177717134132,1387.0
1384.87,1374.6431586721828,1415.95
1421.91,1402.397637379635,1451.55
1467.0,1432.7056037851235,1462.85
1469.9,1453.8700179904201,1446.75
1440.26,1448.77726889355,1472.5
1472.0,1464.7539551352784,1477.0
1477.1,1482.2772615607482,1489.2
1495.0,1487.2461249550677,1500.36
1505.0,1493.2946752203495,1524.88
1529.0,1515.7193609038554,1516.08
1520.0,1517.974688619332,1516.0
1530.85,1523.769794582432,1495.56
1486.25,1494.9032454691956,1502.85
1503.6,1519.1309248425237,1524.0
1526.97,1521.3282777825673,1513.0
1519.71,1522.3193071781536,1544.0
1545.01,1535.9249538944582,1552.0
1554.0,1549.6857270675325,1578.63
1590.0,1568.895797218682,1600.0
1600.01,1593.7633515494858,1584.12
1599.93,1605.8506339408211,1594.7
1598.0,1595.9522186719375,1587.0
1585.0,1586.9482873949978,1571.59
1548.31,1575.8872908510264,1540.0
1549.24,1546.6309082035439,1590.5
1588.0,1582.6744467091248,1580.0
1572.75,1576.7003719077156,1526.99
1528.6,1538.7536657228209,1495.0
1511.01,1513.1904421466274,1560.0
1573.0,1554.513995597768,1510.0
1484.0,1523.20272118867,1427.0
1427.83,1442.4686867247487,1446.0
1436.13,1424.4934703854983,1365.0
1372.99,1387.7727154396769,1385.02
1362.0,1380.3384142928924,1418.0
1431.0,1424.3108698694466,1420.05
1431.52,1434.112910877204,1404.99
1420.71,1422.3524106954126,1405.0
1424.91,1422.8259518090279,1435.25
1431.91,1433.5032685424394,1433.35
1428.74,1430.6664983761268,1445.5
1440.11,1436.361826882434,1433.0
1434.01,1436.862021533476,1449.0
1451.0,1444.948218990327,1508.0
1511.0,1492.0327635208366,1554.0
1559.87,1540.1506209324984,1561.4
1550.0,1556.9259096561354,1532.6
1532.0,1538.8891047979057,1523.0
1529.0,1529.1732676680206,1465.55
1462.65,1485.3517814742015,1486.3
1484.9,1464.3786309659624,1618.0
1607.21,1579.5781090372368,1567.9
1585.01,1596.183156082041,1571.5
1571.0,1573.2671665285584,1588.45
